fault_id,family,family_label,bucket,kind,expected_layer,first_layer,intercepted,target_field,description,detail
F1-handoff-orders[0].client_order_id-lead_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,handoff.orders[0].client_order_id,lead_space pollution of handoff.orders[0].client_order_id,handoff: ' ls-e1tpl-0001-btc-usd' does not match '^\\S+$'
F1-handoff-orders[0].client_order_id-trail_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,handoff.orders[0].client_order_id,trail_space pollution of handoff.orders[0].client_order_id,handoff: 'ls-e1tpl-0001-btc-usd ' does not match '^\\S+$'
F1-handoff-orders[0].client_order_id-inner_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,handoff.orders[0].client_order_id,inner_space pollution of handoff.orders[0].client_order_id,handoff: 'ls e1tpl-0001-btc-usd' does not match '^\\S+$'
F1-handoff-orders[0].client_order_id-tab,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,handoff.orders[0].client_order_id,tab pollution of handoff.orders[0].client_order_id,handoff: '\tls-e1tpl-0001-btc-usd' does not match '^\\S+$'
F1-handoff-orders[0].client_order_id-newline,F1,identifier pollution,directed,static,schema_validation,single_artifact_validator,True,handoff.orders[0].client_order_id,newline pollution of handoff.orders[0].client_order_id,handoff: orders[0].client_order_id must not contain whitespace
F1-handoff-orders[0].client_order_id-zero_width,F1,identifier pollution,directed,static,schema_validation,approval_hash_binding,True,handoff.orders[0].client_order_id,zero_width pollution of handoff.orders[0].client_order_id,approval binding: request_artifact_hash does not match broker handoff artifact
F1-handoff-orders[0].client_order_id-fullwidth,F1,identifier pollution,directed,static,schema_validation,approval_hash_binding,True,handoff.orders[0].client_order_id,fullwidth pollution of handoff.orders[0].client_order_id,approval binding: request_artifact_hash does not match broker handoff artifact
F1-handoff-orders[0].client_order_id-upcase,F1,identifier pollution,directed,static,schema_validation,approval_hash_binding,True,handoff.orders[0].client_order_id,upcase pollution of handoff.orders[0].client_order_id,approval binding: request_artifact_hash does not match broker handoff artifact
F1-handoff-orders[0].symbol-lead_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,handoff.orders[0].symbol,lead_space pollution of handoff.orders[0].symbol,handoff: ' BTC-USD' does not match '^\\S+$'
F1-handoff-orders[0].symbol-trail_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,handoff.orders[0].symbol,trail_space pollution of handoff.orders[0].symbol,handoff: 'BTC-USD ' does not match '^\\S+$'
F1-handoff-orders[0].symbol-inner_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,handoff.orders[0].symbol,inner_space pollution of handoff.orders[0].symbol,handoff: 'BTC USD' does not match '^\\S+$'
F1-handoff-orders[0].symbol-tab,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,handoff.orders[0].symbol,tab pollution of handoff.orders[0].symbol,handoff: '\tBTC-USD' does not match '^\\S+$'
F1-handoff-orders[0].symbol-newline,F1,identifier pollution,directed,static,schema_validation,single_artifact_validator,True,handoff.orders[0].symbol,newline pollution of handoff.orders[0].symbol,handoff: orders[0].symbol must not contain whitespace
F1-handoff-orders[0].symbol-zero_width,F1,identifier pollution,directed,static,schema_validation,approval_hash_binding,True,handoff.orders[0].symbol,zero_width pollution of handoff.orders[0].symbol,approval binding: request_artifact_hash does not match broker handoff artifact
F1-handoff-orders[0].symbol-fullwidth,F1,identifier pollution,directed,static,schema_validation,approval_hash_binding,True,handoff.orders[0].symbol,fullwidth pollution of handoff.orders[0].symbol,approval binding: request_artifact_hash does not match broker handoff artifact
F1-handoff-orders[0].symbol-upcase,F1,identifier pollution,directed,static,schema_validation,approval_hash_binding,True,handoff.orders[0].symbol,upcase pollution of handoff.orders[0].symbol,approval binding: request_artifact_hash does not match broker handoff artifact
F1-handoff-adapter-lead_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,handoff.adapter,lead_space pollution of handoff.adapter,handoff: ' dry-run-broker-adapter' does not match '^\\S+$'
F1-handoff-adapter-trail_space,F1,identifier pollution,directed,static,schema_validation,schema_validation,True,handoff.adapter,trail_space pollution of handoff.adapter,handoff: 'dry-run-broker-adapter ' does not match '^\\S+$'
