model,cell,condition,tasks,parse_failures,invalid_kinds,duplicate_findings,exact_set_accuracy,cardinality_accuracy,any_finding_rate,micro_precision,micro_recall,micro_f1,violation_recall,edit_recall,dual_both,dual_violation_only,dual_edit_only,dual_neither
deepseek:deepseek-v4-pro,tooluse,violation_only,40,4,0,0,0.1,0.1,0.9,0.17560975609756097,0.9,0.29387755102040813,0.9,,,,,
deepseek:deepseek-v4-pro,tooluse,violation_plus_edit,40,2,0,0,0.175,0.2,0.95,0.3476190476190476,0.9125,0.503448275862069,0.95,0.875,35,3,0,2
deepseek:deepseek-v4-pro,tooluse,zero,40,1,0,0,0.0,0.0,0.975,0.0,0.0,0.0,,,,,,
deepseek:deepseek-v4-pro,trading:deepseek_v4_pro,violation_only,30,0,0,1,0.1,0.1,0.9666666666666667,0.30337078651685395,0.9,0.45378151260504207,0.9,,,,,
deepseek:deepseek-v4-pro,trading:deepseek_v4_pro,violation_plus_edit,30,0,0,21,0.26666666666666666,0.3333333333333333,0.9666666666666667,0.4180327868852459,0.85,0.5604395604395604,0.7333333333333333,0.9666666666666667,22,0,7,1
deepseek:deepseek-v4-pro,trading:deepseek_v4_pro,zero,30,0,0,7,0.03333333333333333,0.03333333333333333,0.9666666666666667,0.0,0.0,0.0,,,,,,
deepseek:deepseek-v4-pro,trading:glm_5_direct,violation_only,30,0,0,18,0.0,0.0,1.0,0.19333333333333333,0.9666666666666667,0.32222222222222224,0.9666666666666667,,,,,
deepseek:deepseek-v4-pro,trading:glm_5_direct,violation_plus_edit,30,0,0,18,0.2,0.3333333333333333,1.0,0.30177514792899407,0.85,0.4454148471615719,0.7,1.0,21,0,9,0
deepseek:deepseek-v4-pro,trading:glm_5_direct,zero,30,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
glm:glm-5,tooluse,violation_only,40,0,0,0,0.275,0.275,1.0,0.18604651162790697,1.0,0.3137254901960785,1.0,,,,,
glm:glm-5,tooluse,violation_plus_edit,40,0,0,0,0.075,0.15,1.0,0.26222222222222225,0.7375,0.38688524590163936,0.475,1.0,19,0,21,0
glm:glm-5,tooluse,zero,40,0,0,0,0.375,0.375,0.625,0.0,0.0,0.0,,,,,,
glm:glm-5,trading:deepseek_v4_pro,violation_only,30,0,0,21,0.8,0.8666666666666667,1.0,0.2976190476190476,0.8333333333333334,0.4385964912280702,0.8333333333333334,,,,,
glm:glm-5,trading:deepseek_v4_pro,violation_plus_edit,30,1,1,1,0.13333333333333333,0.16666666666666666,1.0,0.7021276595744681,0.55,0.6168224299065421,0.43333333333333335,0.6666666666666666,4,9,16,1
glm:glm-5,trading:deepseek_v4_pro,zero,30,0,0,27,0.5,0.5,0.5,0.0,0.0,0.0,,,,,,
glm:glm-5,trading:glm_5_direct,violation_only,30,1,0,0,0.36666666666666664,0.5333333333333333,0.6,0.6190476190476191,0.43333333333333335,0.5098039215686274,0.43333333333333335,,,,,
glm:glm-5,trading:glm_5_direct,violation_plus_edit,30,0,0,0,0.0,0.03333333333333333,1.0,0.8823529411764706,0.5,0.6382978723404256,0.16666666666666666,0.8333333333333334,0,5,25,0
glm:glm-5,trading:glm_5_direct,zero,30,0,0,0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,,,,,,
