entry_id,scenario_id,agent_type,provider,model_family,prompt_mode,risk_feedback_mode,evidence_tags,claim_class,evidence_tier,claim_scope,parse_coverage,model_redacted,data_source,frequency,symbols,total_return,max_drawdown,fill_rate,rejected_orders,risk_edits,audit_coverage,reproducibility_hash,reproducibility_status,redaction_status,source_file
ta-109a118ee5d7,anonymous_entry_synthetic_stress_v0_1,llm_policy,anonymous,anonymous-redacted-policy,weights_only,true,stress-only;external-submitted;redacted-prompt,benchmark,stress-benchmark,anonymous external submission under stress-only execution,0.942,True,synthetic-market,daily,3,0.0184,-0.0261,0.8125,9,31,1.0,sha256:109a118ee5d70ca663873c613da8caef7802ceb2f80a45df7b05f48e25ecced9,Reproducible,Redacted,examples/benchmark_submissions/anonymous_entry_redacted_submission.json
ta-f5b5f15dc9ae,synthetic_calm_trend_c0_v0_3,llm_policy,fixture-direct-api,fixture-llm-policy-v0,weights_only,true,stress-only;direct-api;protocol-fixture;redacted-prompt,engineering,manifest-only,protocol fixture for direct API evidence validation; not provider-performance or return evidence,1.0,False,trellm-synthetic-c0,weekly,1,0.001,-0.008,0.74,1,3,1.0,sha256:f5b5f15dc9aeb915ac7bff77bded28346ff9be55161acc9393954c3fb7c363ad,Reproducible,Redacted,examples/benchmark_submissions/example_direct_api_redacted_submission.json
ta-aad1948b44bf,crisis_scene_llm_redacted_example,llm_policy,poe,frontier-chat-model-redacted,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,0.967,True,yahoo-finance-csv,hourly,3,0.0108,-0.0187,0.7816,28,196,1.0,sha256:aad1948b44bf9d607641a8b84455224c87d5bcc6446a8acf5bf2fc8f81f29ff0,Reproducible,Redacted,examples/benchmark_submissions/example_llm_redacted_submission.json
ta-ed2d5e4f2ff3,quickstart_core_synthetic_v0_1,deterministic,deterministic,signal-weighted-baseline,none,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,True,synthetic-market,daily,2,0.3507666274,-0.0126263887,0.9034090909,14,124,1.0,sha256:ed2d5e4f2ff3c87513c4b72ab96a375369150877e6771e7a86b5baa911e9c138,Reproducible,Redacted,examples/benchmark_submissions/example_redacted_submission.json
ta-0a4d0479945d,leaderboard_llm_calm_trend_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:0a4d0479945d620fa4a6558eada3d815242f670a88cc099653bbafad18937b49,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__baseline_always_hold__seed_11.json
ta-e6b53c235779,leaderboard_llm_calm_trend_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:e6b53c2357796f84ae7e9134a7ec5d87f29f9ccbda89513d5eb9ae299ec440da,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__baseline_always_hold__seed_17.json
ta-0d0673c4df95,leaderboard_llm_calm_trend_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:0d0673c4df95ec1d80a708921d5295eb172e26e8703e6bb69645d815e6fff981,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__baseline_always_hold__seed_23.json
ta-bdad4e3ca968,leaderboard_llm_calm_trend_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:bdad4e3ca9680dd061973d21fcb7e18a0dc29ba6a756af66abab08647fef6746,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__baseline_always_hold__seed_31.json
ta-70cc7102f89e,leaderboard_llm_calm_trend_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:70cc7102f89ea2e707c0f9a6e684b76ffe543abbc3e3cc29222cb2834a4eebee,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__baseline_always_hold__seed_7.json
ta-43260ef9e93e,leaderboard_llm_calm_trend_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.017418439695072507,-0.0017880795386072679,0.7333333333333333,2,0,1.0,sha256:43260ef9e93e709396975af40b15adfb61dc06ac61e1777968e5f67c4522dd06,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__baseline_random__seed_11.json
ta-3ae7ff9c8fff,leaderboard_llm_calm_trend_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.009781589597230411,-0.0022751373298405264,0.7333333333333333,2,0,1.0,sha256:3ae7ff9c8ffff38edd76d9e697055fd640837c94010fd3a72ce087bd70583ab0,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__baseline_random__seed_17.json
ta-7fc2c1ac4801,leaderboard_llm_calm_trend_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.036200178068567235,-0.0011904137430697181,0.6666666666666666,2,0,1.0,sha256:7fc2c1ac4801de38cacd90d1fa1a506c8c1721fe5c48a682cd767cabd588a0d2,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__baseline_random__seed_23.json
ta-cf42e362917a,leaderboard_llm_calm_trend_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.01945410550079929,-0.0012027506997969173,0.7777777777777778,0,0,1.0,sha256:cf42e362917a88acf59925ca1d65599bbde3caf1adf95a71efaec9b480b6e0be,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__baseline_random__seed_31.json
ta-1aae0b97e8b7,leaderboard_llm_calm_trend_synthetic_v0_1,control_policy,baseline,random,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.003080719323935943,-0.0068718417700183165,0.7857142857142857,1,0,1.0,sha256:1aae0b97e8b7aa1145e714bb5c9106e126bda5189fbe29b22e1dd2cb63080b2b,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__baseline_random__seed_7.json
ta-06927d1dc59c,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,deepseek,deepseek-v4-flash,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.0256595690093544,-0.0008398349500295943,0.8333333333333334,0,12,1.0,sha256:06927d1dc59c5d5c1fd56aa60226c55cd251643347f0a31412483749c417b855,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__deepseek_deepseek_v4_flash.json
ta-14378629b078,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,deepseek,deepseek-v4-pro,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.02395016123958449,-0.0005222525977854886,0.6666666666666666,1,4,1.0,sha256:14378629b078648470eeeca89976bdfbfccfdc7033e14a1693c6183f6118f320,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__deepseek_deepseek_v4_pro.json
ta-4b68d43caa14,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,poe,claude-opus-4.7,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.030886452642615136,-0.0008398349500295943,0.8461538461538461,0,12,1.0,sha256:4b68d43caa1450e078562b14ce58495e1aacb6aefc71f6c9756131f4fcf2da51,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__poe_claude_opus_4_7.json
ta-06ea62894f11,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,poe,gemini-3.1-pro,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.025349810909030213,-0.0008398349500295943,0.6666666666666666,2,6,1.0,sha256:06ea62894f112c7f946fc6f9a611ccc444d932b899901c9ebe7efc41bb8bdd4b,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__poe_gemini_3_1_pro.json
ta-4e7b44b87eb3,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,poe,glm-5,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.0256595690093544,-0.0008398349500295943,0.8333333333333334,0,12,1.0,sha256:4e7b44b87eb3b6d0d8ea4495f46c7a3a29b4c2a1689c8c34a0cfc3074a606766,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__poe_glm_5.json
ta-1a6cea67f2eb,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,poe,gpt-5.5,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.028843014038501424,-0.0008398349500295943,0.8333333333333334,0,11,1.0,sha256:1a6cea67f2ebbc9cb0a5375e05852dcc75fb3e1b8041f606a0f448cc93e18fd5,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__poe_gpt_5_5.json
ta-e3e0649b2c2b,leaderboard_llm_calm_trend_synthetic_v0_1,llm_policy,poe,kimi-k2.5,rationale,true,stress-only;cached-provider;redacted-prompt,benchmark,stress-benchmark,cached-provider reliability under stress-only execution,1.0,False,synthetic-market,daily,2,0.0319117870102712,-0.0008398349500295943,0.75,1,11,1.0,sha256:e3e0649b2c2baae0e0fb580f079af69bee241d1820376430cc06ed5d368c0066,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/calm_trend__poe_kimi_k2_5.json
ta-20c5743cca23,leaderboard_llm_high_vol_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:20c5743cca23bc3adfad33316cbd1e17914dfad144841e80e7f03bcac364962a,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__baseline_always_hold__seed_17.json
ta-05283aa56f64,leaderboard_llm_high_vol_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:05283aa56f64bfd8abb14dba02509818b421f1019b5a7492f0cd44dcf10b0b92,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__baseline_always_hold__seed_21.json
ta-cf6987259a15,leaderboard_llm_high_vol_synthetic_v0_1,control_policy,baseline,always-hold,rationale,true,stress-only;deterministic-baseline,benchmark,stress-benchmark,deterministic baseline under stress-only execution,1.0,False,synthetic-market,daily,2,0.0,0.0,0.0,0,0,1.0,sha256:cf6987259a158d7b5c33aa7611ea4d6d1a7d90e78ab21bed358552a2ed300064,Reproducible,Redacted,examples/benchmark_submissions/model_matrix/high_vol__baseline_always_hold__seed_27.json
