protocol_id,artifact_id,claim_area,claim_class,evidence_stage,supports_headline_claim,summary_path,primary_rows,summary_schema,row_count,statistical_methods,claim_boundary,artifact_sha256,primary_rows_sha256,status,missing_paths
trellm-v0.3-protocol,direct_api_pilot,direct API provenance,engineering,protocol-fixture,false,docs/results/v0_3_direct_api_pilot/direct_api_pilot_summary.json,docs/results/v0_3_direct_api_pilot/direct_api_pilot_rows.csv,trellm_v0_3_direct_api_pilot_v0.1,4,seed/sample manifest coverage,Validates direct API evidence plumbing without live provider calls.,sha256:9ff5a4b335f5690b97e8a16faf033f0e9136f04e9e682f5f0375dd4c019b6e72,sha256:a460d41cbad560387251e663cae4c12f8824d227abd243420685e9894a498044,present,
trellm-v0.3-protocol,direct_api_matrix_gate,direct API model matrix threshold gate,engineering,threshold-gate,false,docs/results/v0_3_direct_api_matrix_gate/direct_api_matrix_gate_summary.json,docs/results/v0_3_direct_api_matrix_gate/direct_api_matrix_gate_coverage.csv,trellm_v0_3_direct_api_matrix_gate_v0.1,900,direct_manifest_hash_binding;seed_sample_threshold_gate,Verifies direct API matrix provenance and 10x3 coverage; see direct_api_matrix_results for the gate-passing rows.,sha256:e83cbc325de2771bdde4a3a491ae98aee03ef80a4f91f45649ec8f82b975e54d,sha256:e6c964bdd7f98798a52c8539224c3ffd267e4905198b7d9c426e40cc9dad4e1b,present,
trellm-v0.3-protocol,direct_api_model_matrix_plan,direct API model matrix run plan and credential preflight,engineering,planning-note,false,docs/results/v0_3_direct_api_matrix_plan/direct_api_matrix_plan_summary.json,docs/results/v0_3_direct_api_matrix_plan/direct_api_matrix_plan_coverage.csv,trellm_v0_3_direct_api_matrix_plan_v0.1,,pre_registered_10x3_matrix_plan;credential_env_var_preflight,Pre-registers direct API matrix rows and credential readiness; not provider-performance evidence.,sha256:e55134cccab3840942d222a0558128eef392544d705b75cc687c321060c1ad2a,sha256:fd7487feaab90bcd98e36b06ceca5f303ba9de8138f1ace05bbab435b8f51f9f,present,
trellm-v0.3-protocol,direct_api_call_packets,direct API call-packet execution queue,engineering,planning-note,false,docs/results/v0_3_direct_api_call_packets/direct_api_call_packets_summary.json,docs/results/v0_3_direct_api_call_packets/direct_api_call_packet_manifest.csv,trellm_v0_3_direct_api_call_packets_v0.1,,deterministic_call_packet_hashing;redaction_contract_binding,Turns pre-registered rows into hash-bound no-key call packets; not provider-performance evidence.,sha256:0d5ec8127922fe165c9422596851c396cfe50dafc3a630c1fd4d3d1fad1e5cfe,sha256:246fe2c4349540bfd6049343b548ca52efbe4d877e61383e1b84b42c0b1877e0,present,
trellm-v0.3-protocol,direct_api_submission_checklist,direct API redaction and submission checklist,engineering,planning-note,false,docs/results/v0_3_direct_api_submission_checklist/direct_api_submission_checklist_summary.json,docs/results/v0_3_direct_api_submission_checklist/direct_api_submission_checklist_items.csv,trellm_v0_3_direct_api_submission_checklist_v0.1,,schema_field_coverage_check;redaction_submission_checklist,"Constrains direct API redaction, manifest binding, and claim boundaries; not provider-performance evidence.",sha256:74ac66321e6a14e1540f604759cd277e908c7a0f33fc9c671d7159aa3ff2c116,sha256:6cba35a6ac63ed77e5e45fc9bae8a8817657cb70356b02fc6bb8c33080dc3dc8,present,
trellm-v0.3-protocol,claim_boundary_audit,public narrative claim-boundary audit,engineering,planning-note,false,docs/results/v0_3_claim_boundary_audit/claim_boundary_audit_summary.json,docs/results/v0_3_claim_boundary_audit/claim_boundary_audit_findings.csv,trellm_v0_3_claim_boundary_audit_v0.1,,claim_boundary_text_audit;evidence_index_gap_check,Checks public narrative surfaces for overclaiming; not model-performance evidence.,sha256:e35acabd0e5b6e9e60c7709711c347ff675705606ef60ea57b7b8d22c3048672,sha256:8366aff80db48275572641007ba986cff2077e4058f49ce7ebf9f85903ce4f5a,present,
trellm-v0.3-protocol,execution_ladder,execution assumption sensitivity,benchmark,protocol-fixture,false,docs/results/v0_3_execution_ladder/execution_ladder_summary.json,docs/results/v0_3_execution_ladder/execution_ladder_rows.csv,trellm_v0_3_execution_ladder_v0.1,32,kendall_tau;top_k_jaccard;bootstrap_ci,"Reports deterministic E0-E3 fixture sensitivity, not live-provider model skill.",sha256:8927d2d06f68db0839cc53d0fbd18e6517bdc386dc79b2f7bbb3a6b02fb83508,sha256:9cb6170dcfbcfbc2e3c461a60bc4f169533e1c6ff5400665b67447b4634a77ae,present,
trellm-v0.3-protocol,execution_stress_grid,E2 execution stress-grid sensitivity,benchmark,protocol-fixture,false,docs/results/v0_3_execution_stress_grid/execution_stress_grid_summary.json,docs/results/v0_3_execution_stress_grid/execution_stress_grid_sensitivity.csv,trellm_v0_3_execution_stress_grid_v0.1,36,paired_seed_delta_vs_e1_reference;execution_assumption_axis_sweep,"Isolates spread, latency, participation, and impact stress axes on fixture agents; not live cost prediction.",sha256:93dbea37241ea5f8d3eb7164ab3afc5f411e2fcf6224866538956de7f3fa0d5f,sha256:257257e3dde16963812e20c70c1e67d5ae415728658c2e92618e31f446ab7c95,present,
trellm-v0.3-protocol,finaudit_pilot,financial trace audit,engineering,protocol-fixture,false,docs/results/v0_3_finaudit_pilot/finaudit_pilot_summary.json,docs/results/v0_3_finaudit_pilot/finaudit_pilot_scores.csv,trellm_v0_3_finaudit_pilot_v0.1,8,precision;recall;f1;wilson_interval;difficulty_breakdown,"Validates injected-defect scoring path with fixture auditors, not model audit performance.",sha256:52f5250e155cd22a936c25c0384da685832f5a1dc0d2ea9138a41fa89f243f04,sha256:2ad576eccf02758ba4634f3cc11202db37a4b2da5706fc662eeb3b7ed874f82e,present,
trellm-v0.3-protocol,finaudit_direct_model_plan,FinAudit direct-model auditor call plan,engineering,planning-note,false,docs/results/v0_3_finaudit_direct_model_plan/finaudit_direct_model_plan_summary.json,docs/results/v0_3_finaudit_direct_model_plan/finaudit_direct_model_plan_rows.csv,trellm_v0_3_finaudit_direct_model_plan_v0.1,8,direct_model_auditor_plan;private_answer_key_boundary,Pre-registers direct-model FinAudit auditor calls; not model audit-performance evidence.,sha256:31dd0c647b969823d02c705e5acbfef07618eacf9302b88da3faf995ecdc32fb,sha256:1db5b04f62ab1bd08e66fc26efd12b119e81a9823966d5ce7f54ddf5e5dca208,present,
