protocol_id,required_artifact,coverage_status,evidence_ref,claim_boundary
trellm-v0.3-protocol,direct-provider manifest schema or contract,covered-by-fixture,direct_api_pilot,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,raw seed rows,covered-by-fixture,direct_api_pilot;execution_ladder;memory_contamination,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,aggregate rows,covered-by-fixture,execution_ladder;memory_contamination,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,significance table,covered-by-fixture,memory_contamination,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,ranking-stability table,covered-by-fixture,execution_ladder,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,contamination probe report,covered-by-fixture,memory_contamination,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,contamination-control readiness audit,covered-by-artifact,contamination_control_audit,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,execution-sensitivity report,covered-by-fixture,execution_ladder,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,execution stress-grid report,covered-by-fixture,execution_stress_grid,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,FinAudit pilot report,covered-by-fixture,finaudit_pilot,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,FinAudit direct-model audit plan,covered-by-artifact,finaudit_direct_model_plan,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,power curve or detectable effect note,covered-by-artifact,power_detectable_effect_note,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,variance decomposition table,covered-by-artifact,variance_decomposition,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,claim-boundary audit,covered-by-artifact,claim_boundary_audit,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,direct API redaction and submission checklist,covered-by-artifact,direct_api_submission_checklist,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,direct API model matrix plan,covered-by-artifact,direct_api_model_matrix_plan,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,direct API call packet manifest,covered-by-artifact,direct_api_call_packets,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,direct API model matrix gate,covered-by-artifact,direct_api_matrix_gate,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,external reproduction report gate,covered-by-artifact,external_reproduction_gate,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,external reproduction bundle,covered-by-artifact,replication_pack_verification,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-protocol,direct API matrix results,covered-by-artifact,direct_api_matrix_results,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
