provider,model,prompt_variant,repeat,tasks,tasks_passed,score,max_score,score_pct,hard_failed
poe,gpt-5.5,standard,1,8,7,33,40,0.825,1
poe,gpt-5.5,standard,2,8,7,32,40,0.8,1
poe,gpt-5.5,skeptical_reviewer,1,8,7,32,40,0.8,1
poe,gpt-5.5,skeptical_reviewer,2,8,6,32,40,0.8,1
poe,gpt-5.5,adversarial_claim_boundary,1,8,5,27,40,0.675,2
poe,gpt-5.5,adversarial_claim_boundary,2,8,7,31,40,0.775,1
poe,gemini-3.1-pro,standard,1,8,6,31,40,0.775,1
poe,gemini-3.1-pro,standard,2,8,6,32,40,0.8,1
poe,gemini-3.1-pro,skeptical_reviewer,1,8,7,32,40,0.8,1
poe,gemini-3.1-pro,skeptical_reviewer,2,8,7,32,40,0.8,1
poe,gemini-3.1-pro,adversarial_claim_boundary,1,8,7,33,40,0.825,1
poe,gemini-3.1-pro,adversarial_claim_boundary,2,8,7,33,40,0.825,1
poe,kimi-k2.5,standard,1,8,5,27,40,0.675,2
poe,kimi-k2.5,standard,2,8,6,29,40,0.725,2
poe,kimi-k2.5,skeptical_reviewer,1,8,6,31,40,0.775,1
poe,kimi-k2.5,skeptical_reviewer,2,8,7,32,40,0.8,1
poe,kimi-k2.5,adversarial_claim_boundary,1,8,6,30,40,0.75,1
poe,kimi-k2.5,adversarial_claim_boundary,2,8,4,28,40,0.7,1
poe,glm-5,standard,1,8,7,34,40,0.85,1
poe,glm-5,standard,2,8,6,30,40,0.75,1
poe,glm-5,skeptical_reviewer,1,8,6,31,40,0.775,1
poe,glm-5,skeptical_reviewer,2,8,5,30,40,0.75,1
poe,glm-5,adversarial_claim_boundary,1,8,6,28,40,0.7,2
poe,glm-5,adversarial_claim_boundary,2,8,7,33,40,0.825,1
poe,claude-opus-4.7,standard,1,8,6,29,40,0.725,2
poe,claude-opus-4.7,standard,2,8,7,36,40,0.9,0
poe,claude-opus-4.7,skeptical_reviewer,1,8,7,33,40,0.825,1
poe,claude-opus-4.7,skeptical_reviewer,2,8,6,28,40,0.7,2
poe,claude-opus-4.7,adversarial_claim_boundary,1,8,6,27,40,0.675,2
poe,claude-opus-4.7,adversarial_claim_boundary,2,8,7,35,40,0.875,0
