protocol_id,plan_id,task_id,condition,provider,model_id,model_version_or_release,api_endpoint_family,credential_env_var,credential_env_var_present,scenario_id,contamination_tier,difficulty,trajectory_sha256,prompt_sha256,audit_request_packet_sha256,expected_private_response_path,expected_public_score_path,answer_key_public,execution_status,blocking_reasons,claim_scope
trellm-v0.3-protocol,openai__gpt_5_5__finaudit_0000__cross_audit,finaudit_0000,cross-audit,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_finaudit_c0_v0_3,C0,L1,sha256:16c80c409471b740173f44729d41158340a854c95c7bbf78dab37bab447c40de,sha256:1841c65274ad8175340e30b121dddb886f6a72857d3f22f27b0095f728fc38a2,sha256:92db80392bac29541cc35b807ac5d80d451901845a4c51ab47832f3ab93797e6,outputs/v0_3_finaudit_direct_model/private_responses/openai__gpt_5_5__finaudit_0000__cross_audit.json,outputs/v0_3_finaudit_direct_model/public_scores/openai__gpt_5_5__finaudit_0000__cross_audit.json,false,not_run,credential_env_var_missing,Pre-registered direct-model FinAudit auditor call. It is not evidence until a direct-provider response is privately scored against the non-public answer key.
trellm-v0.3-protocol,openai__gpt_5_5__finaudit_0000__self_audit,finaudit_0000,self-audit,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_finaudit_c0_v0_3,C0,L1,sha256:16c80c409471b740173f44729d41158340a854c95c7bbf78dab37bab447c40de,sha256:1841c65274ad8175340e30b121dddb886f6a72857d3f22f27b0095f728fc38a2,sha256:ae83164839e0a83bc461738b38d39329ba0dd0e84328d1414316122780e52e38,outputs/v0_3_finaudit_direct_model/private_responses/openai__gpt_5_5__finaudit_0000__self_audit.json,outputs/v0_3_finaudit_direct_model/public_scores/openai__gpt_5_5__finaudit_0000__self_audit.json,false,not_run,credential_env_var_missing,Pre-registered direct-model FinAudit auditor call. It is not evidence until a direct-provider response is privately scored against the non-public answer key.
trellm-v0.3-protocol,openai__gpt_5_5__finaudit_0001__cross_audit,finaudit_0001,cross-audit,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_finaudit_c0_v0_3,C0,L2,sha256:7c204df6397fbca040b63930d79e5bd7dc2efd32bc8b4ba754c1138965d85597,sha256:1841c65274ad8175340e30b121dddb886f6a72857d3f22f27b0095f728fc38a2,sha256:cf40d1d5c3f44f55e64ba984fd5163914cef5ecb4315742e7f40ac61617ad855,outputs/v0_3_finaudit_direct_model/private_responses/openai__gpt_5_5__finaudit_0001__cross_audit.json,outputs/v0_3_finaudit_direct_model/public_scores/openai__gpt_5_5__finaudit_0001__cross_audit.json,false,not_run,credential_env_var_missing,Pre-registered direct-model FinAudit auditor call. It is not evidence until a direct-provider response is privately scored against the non-public answer key.
trellm-v0.3-protocol,openai__gpt_5_5__finaudit_0001__self_audit,finaudit_0001,self-audit,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_finaudit_c0_v0_3,C0,L2,sha256:7c204df6397fbca040b63930d79e5bd7dc2efd32bc8b4ba754c1138965d85597,sha256:1841c65274ad8175340e30b121dddb886f6a72857d3f22f27b0095f728fc38a2,sha256:3b8769e5b5abcd600e17c33c9c61f22482a7efa35d76357098bba4d93ad36c44,outputs/v0_3_finaudit_direct_model/private_responses/openai__gpt_5_5__finaudit_0001__self_audit.json,outputs/v0_3_finaudit_direct_model/public_scores/openai__gpt_5_5__finaudit_0001__self_audit.json,false,not_run,credential_env_var_missing,Pre-registered direct-model FinAudit auditor call. It is not evidence until a direct-provider response is privately scored against the non-public answer key.
trellm-v0.3-protocol,openai__gpt_5_5__finaudit_0002__cross_audit,finaudit_0002,cross-audit,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_finaudit_c0_v0_3,C0,L2,sha256:07d0cd2ec86a2ca7884c244e4ca39a8f4d5c063d4c458a3f65edbfd24d6ad9d5,sha256:1841c65274ad8175340e30b121dddb886f6a72857d3f22f27b0095f728fc38a2,sha256:d936e77e145d86b27a3a50c4f16a24c4ff807119bc228068b9bf482010883602,outputs/v0_3_finaudit_direct_model/private_responses/openai__gpt_5_5__finaudit_0002__cross_audit.json,outputs/v0_3_finaudit_direct_model/public_scores/openai__gpt_5_5__finaudit_0002__cross_audit.json,false,not_run,credential_env_var_missing,Pre-registered direct-model FinAudit auditor call. It is not evidence until a direct-provider response is privately scored against the non-public answer key.
trellm-v0.3-protocol,openai__gpt_5_5__finaudit_0002__self_audit,finaudit_0002,self-audit,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_finaudit_c0_v0_3,C0,L2,sha256:07d0cd2ec86a2ca7884c244e4ca39a8f4d5c063d4c458a3f65edbfd24d6ad9d5,sha256:1841c65274ad8175340e30b121dddb886f6a72857d3f22f27b0095f728fc38a2,sha256:13f0a1c30ff886e8e9aef2c9212a067cbda6112884146cebfd89d466707cde6a,outputs/v0_3_finaudit_direct_model/private_responses/openai__gpt_5_5__finaudit_0002__self_audit.json,outputs/v0_3_finaudit_direct_model/public_scores/openai__gpt_5_5__finaudit_0002__self_audit.json,false,not_run,credential_env_var_missing,Pre-registered direct-model FinAudit auditor call. It is not evidence until a direct-provider response is privately scored against the non-public answer key.
trellm-v0.3-protocol,openai__gpt_5_5__finaudit_0003__cross_audit,finaudit_0003,cross-audit,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_finaudit_c0_v0_3,C0,L3,sha256:698f2b8369ae78798954542680964d03a8440dd8fd2904999398062c06c9f52f,sha256:1841c65274ad8175340e30b121dddb886f6a72857d3f22f27b0095f728fc38a2,sha256:346c49d8de3814d413d90be19c7f16cd8b1cf1c507f24ccc160acb6917c8f983,outputs/v0_3_finaudit_direct_model/private_responses/openai__gpt_5_5__finaudit_0003__cross_audit.json,outputs/v0_3_finaudit_direct_model/public_scores/openai__gpt_5_5__finaudit_0003__cross_audit.json,false,not_run,credential_env_var_missing,Pre-registered direct-model FinAudit auditor call. It is not evidence until a direct-provider response is privately scored against the non-public answer key.
trellm-v0.3-protocol,openai__gpt_5_5__finaudit_0003__self_audit,finaudit_0003,self-audit,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_finaudit_c0_v0_3,C0,L3,sha256:698f2b8369ae78798954542680964d03a8440dd8fd2904999398062c06c9f52f,sha256:1841c65274ad8175340e30b121dddb886f6a72857d3f22f27b0095f728fc38a2,sha256:dec003f2e4b5446294e6e44c0113594c2228e53b2e6d3c7941d562bbf97f6a48,outputs/v0_3_finaudit_direct_model/private_responses/openai__gpt_5_5__finaudit_0003__self_audit.json,outputs/v0_3_finaudit_direct_model/public_scores/openai__gpt_5_5__finaudit_0003__self_audit.json,false,not_run,credential_env_var_missing,Pre-registered direct-model FinAudit auditor call. It is not evidence until a direct-provider response is privately scored against the non-public answer key.
trellm-v0.3-protocol,openai__gpt_5_5__finaudit_0004__cross_audit,finaudit_0004,cross-audit,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_finaudit_c0_v0_3,C0,L1,sha256:bef6f229078a0f3a893ac1acbb1d11a7817d26ec302f67e5ef5e68feaa4ac40a,sha256:1841c65274ad8175340e30b121dddb886f6a72857d3f22f27b0095f728fc38a2,sha256:7c742740ae7841389accf420c83f0a1f405aa84bb311343a7c89a7093f5c995c,outputs/v0_3_finaudit_direct_model/private_responses/openai__gpt_5_5__finaudit_0004__cross_audit.json,outputs/v0_3_finaudit_direct_model/public_scores/openai__gpt_5_5__finaudit_0004__cross_audit.json,false,not_run,credential_env_var_missing,Pre-registered direct-model FinAudit auditor call. It is not evidence until a direct-provider response is privately scored against the non-public answer key.
trellm-v0.3-protocol,openai__gpt_5_5__finaudit_0004__self_audit,finaudit_0004,self-audit,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_finaudit_c0_v0_3,C0,L1,sha256:bef6f229078a0f3a893ac1acbb1d11a7817d26ec302f67e5ef5e68feaa4ac40a,sha256:1841c65274ad8175340e30b121dddb886f6a72857d3f22f27b0095f728fc38a2,sha256:825af8b6ed55b3aa0a75ed4e68d7d1672cc6a0ca8e1a51ba22c45cd7ac6e93e3,outputs/v0_3_finaudit_direct_model/private_responses/openai__gpt_5_5__finaudit_0004__self_audit.json,outputs/v0_3_finaudit_direct_model/public_scores/openai__gpt_5_5__finaudit_0004__self_audit.json,false,not_run,credential_env_var_missing,Pre-registered direct-model FinAudit auditor call. It is not evidence until a direct-provider response is privately scored against the non-public answer key.
