protocol_id,submission_path,scenario_id,provider,model_family,model_display_name,contamination_tier,execution_level,seed,sample_index,evidence_tags,total_return,max_drawdown,sharpe,provider_manifest_path,provider_manifest_sha256,provider_route,manifest_model_id,manifest_model_version_or_release,row_validation_status,threshold_eligible,blocking_reasons
trellm-v0.3-protocol,outputs/v0_3_direct_api_matrix/submissions/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_11__sample_0.json,synthetic_calm_trend_c0_v0_3,deepseek,deepseek-v4-flash,deepseek-v4-flash (api-pinned-2026-07-02),C0,E0,11,0,stress-only;direct-api;live-provider;redacted-prompt,0.0835,-0.00021,11.469714,outputs/v0_3_direct_api_matrix/provider_manifests/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_11__sample_0.json,sha256:fde05e4098ed72178bd4a14c61bc79c5e6680de0137c434e22ee84c7bfe6d8c1,direct-api,deepseek-v4-flash,api-pinned-2026-07-02,valid,true,
trellm-v0.3-protocol,outputs/v0_3_direct_api_matrix/submissions/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_11__sample_1.json,synthetic_calm_trend_c0_v0_3,deepseek,deepseek-v4-flash,deepseek-v4-flash (api-pinned-2026-07-02),C0,E0,11,1,stress-only;direct-api;live-provider;redacted-prompt,0.102635,-0.00021,17.251205,outputs/v0_3_direct_api_matrix/provider_manifests/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_11__sample_1.json,sha256:6f33b59c3d7b7e0406fa957d8afb3bca0db13ab1ab9de699a0dbcc890ee10c33,direct-api,deepseek-v4-flash,api-pinned-2026-07-02,valid,true,
trellm-v0.3-protocol,outputs/v0_3_direct_api_matrix/submissions/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_11__sample_2.json,synthetic_calm_trend_c0_v0_3,deepseek,deepseek-v4-flash,deepseek-v4-flash (api-pinned-2026-07-02),C0,E0,11,2,stress-only;direct-api;live-provider;redacted-prompt,0.275225,-0.00021,26.717963,outputs/v0_3_direct_api_matrix/provider_manifests/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_11__sample_2.json,sha256:bc9a4f6eb056a22a80d082b923731691934411f31e71c5cf9c0c061cc7041efd,direct-api,deepseek-v4-flash,api-pinned-2026-07-02,valid,true,
trellm-v0.3-protocol,outputs/v0_3_direct_api_matrix/submissions/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_17__sample_0.json,synthetic_calm_trend_c0_v0_3,deepseek,deepseek-v4-flash,deepseek-v4-flash (api-pinned-2026-07-02),C0,E0,17,0,stress-only;direct-api;live-provider;redacted-prompt,0.188039,-0.00021,17.550746,outputs/v0_3_direct_api_matrix/provider_manifests/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_17__sample_0.json,sha256:10ed46cbc26db83dd8d665428230713eb5971a68a43fd2274eed0aed96544c45,direct-api,deepseek-v4-flash,api-pinned-2026-07-02,valid,true,
trellm-v0.3-protocol,outputs/v0_3_direct_api_matrix/submissions/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_17__sample_1.json,synthetic_calm_trend_c0_v0_3,deepseek,deepseek-v4-flash,deepseek-v4-flash (api-pinned-2026-07-02),C0,E0,17,1,stress-only;direct-api;live-provider;redacted-prompt,0.197024,-0.000105,19.065363,outputs/v0_3_direct_api_matrix/provider_manifests/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_17__sample_1.json,sha256:b6673762840a756cb400244d5f9247997e02b52e1c952f58ee5ede2ca409bd70,direct-api,deepseek-v4-flash,api-pinned-2026-07-02,valid,true,
trellm-v0.3-protocol,outputs/v0_3_direct_api_matrix/submissions/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_17__sample_2.json,synthetic_calm_trend_c0_v0_3,deepseek,deepseek-v4-flash,deepseek-v4-flash (api-pinned-2026-07-02),C0,E0,17,2,stress-only;direct-api;live-provider;redacted-prompt,0.213199,-0.000637,21.557395,outputs/v0_3_direct_api_matrix/provider_manifests/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_17__sample_2.json,sha256:bd6ae1b644b0994012be47245cbdf01a72a6f6eb88f847defcc417a10808e766,direct-api,deepseek-v4-flash,api-pinned-2026-07-02,valid,true,
trellm-v0.3-protocol,outputs/v0_3_direct_api_matrix/submissions/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_23__sample_0.json,synthetic_calm_trend_c0_v0_3,deepseek,deepseek-v4-flash,deepseek-v4-flash (api-pinned-2026-07-02),C0,E0,23,0,stress-only;direct-api;live-provider;redacted-prompt,0.263814,0.0,29.062289,outputs/v0_3_direct_api_matrix/provider_manifests/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_23__sample_0.json,sha256:20fcb0e4f2abb98f6ed92e1c50b945fa0bbc55eebdd1d4c4d44dda87cd7ecb5a,direct-api,deepseek-v4-flash,api-pinned-2026-07-02,valid,true,
trellm-v0.3-protocol,outputs/v0_3_direct_api_matrix/submissions/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_23__sample_1.json,synthetic_calm_trend_c0_v0_3,deepseek,deepseek-v4-flash,deepseek-v4-flash (api-pinned-2026-07-02),C0,E0,23,1,stress-only;direct-api;live-provider;redacted-prompt,0.262289,0.0,29.211532,outputs/v0_3_direct_api_matrix/provider_manifests/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_23__sample_1.json,sha256:4dfe36b9ec508db82b556c06da3e1e46176722e4d8cc91576817fd7d05dfe4e9,direct-api,deepseek-v4-flash,api-pinned-2026-07-02,valid,true,
trellm-v0.3-protocol,outputs/v0_3_direct_api_matrix/submissions/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_23__sample_2.json,synthetic_calm_trend_c0_v0_3,deepseek,deepseek-v4-flash,deepseek-v4-flash (api-pinned-2026-07-02),C0,E0,23,2,stress-only;direct-api;live-provider;redacted-prompt,0.263814,0.0,29.062289,outputs/v0_3_direct_api_matrix/provider_manifests/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_23__sample_2.json,sha256:cad5b1c019bc8a979831bc5bccd0eff8c4eb30fd2e8182b40bfd96caf11ecedb,direct-api,deepseek-v4-flash,api-pinned-2026-07-02,valid,true,
trellm-v0.3-protocol,outputs/v0_3_direct_api_matrix/submissions/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_31__sample_0.json,synthetic_calm_trend_c0_v0_3,deepseek,deepseek-v4-flash,deepseek-v4-flash (api-pinned-2026-07-02),C0,E0,31,0,stress-only;direct-api;live-provider;redacted-prompt,0.235928,0.0,32.144277,outputs/v0_3_direct_api_matrix/provider_manifests/deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_31__sample_0.json,sha256:0a15678bc6e530b5ba484b043b1de610233bced418a5a9308f819e5a7f794337,direct-api,deepseek-v4-flash,api-pinned-2026-07-02,valid,true,
