protocol_id,base_key_sha256,source_plan_id,provider,model_id,model_version_or_release,scenario_id,contamination_tier,seed,sample_index,intent_origin_execution,periods,response_count,call_log_sha256,prompt_calls_sha256,response_calls_sha256,normalized_parsed_response_path_sha256,parse_coverage,source_status
trellm-v0.3-protocol,sha256:03a17263add161977d6938ee9cdb3d31956e76a9b4ff69aa1ce4767fbc55bb15,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_11__sample_0,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,11,0,E0,24,24,sha256:d3b96cfa08777c1a4687d462bf1758f612c4eb915ebca929b5f74d3a7d9b2fd9,sha256:ba66c81b29cbabe35ecb08b59e51fd354defa42a94a97e56803fe90c8cced587,sha256:403579b87b29cc90d5b6f55cf2ad72843fbe368e944b47f9e342811eae40ba16,sha256:250fd21b1091ff58944cfea8b487246e8668983ea8fecf46fe3a7b32cae16d5c,1.0,ok
trellm-v0.3-protocol,sha256:da7306756c4ca3520aea5cacaf62124a8496d86781ba2099fd0bd99232e2debd,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_11__sample_1,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,11,1,E0,24,24,sha256:736f3641b29d91baa80e0fbb435f146f5697964aea83f563afcecd5271c6adff,sha256:7033b0b1afa5117f7223c37129b95921f29fa07e389f16ded9b066545de4d196,sha256:0c56b501282763412ce975b81516ac8cbb29f3e54a996d4d05b2d3bc1acb18a6,sha256:e1b037de26e5c4ceace17997b273cfdbcf55a8d73d18b1327be7fe8ad4ab1655,1.0,ok
trellm-v0.3-protocol,sha256:9a89bdcadf4f8793c424b304f47a8c287da448bd650106e1442898db339441e0,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_11__sample_2,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,11,2,E0,24,24,sha256:eaa0de44a3f4f84f99504de7dae2770d86715f866ca4331954952f5c48bbf599,sha256:faa9efa41b35b3c4c0402b229685207695cb65bddda81de084499c2de4f3cc71,sha256:653e887c22cb37d53425a2807a469df21f080d7088ed12dd5eff2a6fddff634f,sha256:48779bdb2d8b6cb2cee3d6a85587938b1729ffb6228d3a65eb2c613ee475526a,1.0,ok
trellm-v0.3-protocol,sha256:cbc98f1d5774dc388d081e24344b1b67082e7ea1a9214dbb23c84c946c039218,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_17__sample_0,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,17,0,E0,24,24,sha256:fa5a7034a236f5e469fc7b9407393ba5f2792b1e5d5abcc7f4152d4164d7e2e8,sha256:afaf7ca39139401e91a9402d7e9c5c21a208515ca3f95dea4d94f89caba34ef6,sha256:be2e0551d67d6c596e18c29865f67d5480b00ccba4519a1d7f4406947307e8a3,sha256:53a286b5d5e39cf8b7085045c0408a82d8cd90ef791b056cafa0f0cf916e0828,1.0,ok
trellm-v0.3-protocol,sha256:bdfa4d4b5e3d82a99d08651651a47e63303cbdaf7d5e679b0c2f9c511c529dc1,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_17__sample_1,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,17,1,E0,24,24,sha256:04fb75e085b46846ff287ddbb2f8edaf5a91d6e81fd882ac1c5f0d7904ade292,sha256:2e249df47370775328ff9722539854fa57f2fc9f17db07c4c184284565000408,sha256:80a6b6f65d48c7813c9118f8b62b2633372e07a3f3cdea84083292c62dbd51a5,sha256:21c7b3cb517385d79fba0a63bf448c5520774c047ff5ff0bcd13e53dc456e158,1.0,ok
trellm-v0.3-protocol,sha256:1fae9582e237d7127d0dd2e8389a745f2d15fac8005a3208eb648b2819a7f4e1,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_17__sample_2,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,17,2,E0,24,24,sha256:0d746b0620fbcbaa562723913cdaabf63c7ed8173771277883cc7394e43162e7,sha256:5da23826e2471919d91c42ce27bbc3f637e4336805d4e4612b4c1b18cd9e0a2e,sha256:b142bf04564cf5433d58d4bc5d3cc9e009ea1800ea2e7609e43a315f6862f60a,sha256:13f6fcf9df654cba294548f21f64f0a4438f72b42ac43a9fdca1419891193dfd,1.0,ok
trellm-v0.3-protocol,sha256:fde88cef241fd8542219cfff343abadac26e8cb0897c3c8c907bc02454d5ddf2,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_23__sample_0,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,23,0,E0,24,24,sha256:c9895fd884bd41b4f7671512cd972f3449cec8830102f984bd5d1a7b81c07f26,sha256:7a63487b08423af9c5141439e1476599111fd69f37719ee5f9ed4fd910acc13b,sha256:e3f9f1927e93d4e3d42812edbcce8f9c03eda4365e75c98982ce11835037356b,sha256:ced4592a2fb7274b87e07c014251b8051ad1d7d5292fdc53b7287ed190ad0c06,1.0,ok
trellm-v0.3-protocol,sha256:6d34688809f47dc709df793a48cda14caaf11a49a0952d21e4daae0b2cc9f9f9,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_23__sample_1,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,23,1,E0,24,24,sha256:bec37ef8edbe4b6256a39291a6170e4c6b0c41d54ea53e713fef95970af6d57d,sha256:7900de02942e9996f6f4850fdea48eee29b2a963d6a752a0aa845ca9dc2a7683,sha256:94b41ebb676e8c57a3155bacd41aa99fd113dccc8f24d7538bcb754b6d40a696,sha256:59c1585fec5c466c4e69ab02fd522d47b029538269c1045bef63ccd18c69f9eb,1.0,ok
trellm-v0.3-protocol,sha256:3675d02387e76deeb021f65b2928367661e45df8477b54d43fe59fcca501ed96,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_23__sample_2,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,23,2,E0,24,24,sha256:6a18c3902d2df9d245f264dc5f12dcfd9d1171c556abf9fba61995694c4f8461,sha256:7a63487b08423af9c5141439e1476599111fd69f37719ee5f9ed4fd910acc13b,sha256:6da383486fbf7d88d9ce93ac2b073c164746fcd9fbf1c8ac004149284beb6c37,sha256:b94957772c21101d07b65667ef5bcbe9c901ae4eb611f17d739035d2b44ae617,1.0,ok
trellm-v0.3-protocol,sha256:23d04d4dea698d2900db132bc810a3160f5490d41de6f5d8608d485d83388bf2,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_31__sample_0,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,31,0,E0,24,24,sha256:0a7eac2d45cb49ee2d90b47ef6fb4e4f54436ff880801b65fa5520c06a7e471e,sha256:2292ff5a12bd2d3e2273ebe37d32fd494a22197e3dbd86f7268606c375c61489,sha256:13b014d6b379ad67aba8ef1df95ab12e0cf30fc73a523d38f3562b4be5da9da7,sha256:2c666e036ca5c9be2241084e497c6317baae096b481c01a872099ffcd8bc704d,1.0,ok
trellm-v0.3-protocol,sha256:2898a309e37dd25df94b9b02c3efddcd480675d2395474ea89fa936b4cbd0ec1,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_31__sample_1,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,31,1,E0,24,24,sha256:b12325e81c136d287e036783cf5e42870d0b2c468890b2b1393780458198f473,sha256:2493cb72cb62adc621f01da511fa3dc83eae4ad976d95d03a0b0c95b6027bcd2,sha256:81c525db8eba70507d20fe9f688643f404baf6d180de284a0a669e15071b07bf,sha256:ab35583fb4a1e13f13b8ad3f08a46b66e8cd51b291b4326d9191c985e209d846,1.0,ok
trellm-v0.3-protocol,sha256:35477038dbf814136d7e9ce303cb413594a54437d2e61049a7c600b0870ce2f8,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_31__sample_2,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,31,2,E0,24,24,sha256:02cb7e5f80423a6b2c45fbde0aefc9b6105a5f2288847e2357e234723ad91694,sha256:cc3b7b54107544c6752b9cbefd02697b85704cdfb9eba4f992b1d838b66605c9,sha256:41b802879340810a24660923e6f867807a1bb8db59683a2c814d05def542b210,sha256:2a906703c49c314996ec96934c2cfe4916d258b985cc32ae77741af1fb828350,1.0,ok
trellm-v0.3-protocol,sha256:43649115a8d9fa3c46c199ef71dbf77720e6dfa158be6e570ccfcf37a9026384,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_37__sample_0,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,37,0,E0,24,24,sha256:d13cea6fec6415c68dd89380f83807be0625868cc418fbbb346ab2d31c21dd50,sha256:a8ba66f6284ca0eb8e02ece58d879a92418f2660551cea9b35baff71e3eb1199,sha256:8f65efd8e623a4d4bfc5b863ee462753b7e869e2dc87a3d0c741cf72dc145778,sha256:a1a684d4bca4c548aaee22c8bc8c612a2d6a08e8489a04973a6cf9290a1d89c2,1.0,ok
trellm-v0.3-protocol,sha256:015b1c4e6ec13cc1aa122d7bc39d42efb6f4a596ae43e54b7a8f45253ea072b6,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_37__sample_1,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,37,1,E0,24,24,sha256:e203abf334028e65e20f1db2563c42b229a64e1b8926119d34b8b99d4c5d7f5f,sha256:56ce56fd585179842dcd400ea446127158b1c19756d11548882dc52e3e0d5efa,sha256:edf6feb923b64adbcc41da37b3a8b45a053a41a9054c86c8ce7e92c9135c1cc3,sha256:db90fb3d5733bc5ce92eee3b8e91714cfefa905d557866cd448d5c00ff945685,1.0,ok
trellm-v0.3-protocol,sha256:33309714196545cd0cedd6f5d3131a528abde664c319ce4eab4403b1bd102b80,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_37__sample_2,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,37,2,E0,24,24,sha256:289f85bfff60368152dbc861b1ff36012a8a65d8204c779887e9c26cff730b72,sha256:a8ba66f6284ca0eb8e02ece58d879a92418f2660551cea9b35baff71e3eb1199,sha256:08c7d12167871405d9c96851c631638c845a1ad4f4cedb37f0be0d97353a5e94,sha256:89ec698fb58cf257d5966b4a2338ebffbe2a64a7c4919d8951f8f27a7cf41d4d,1.0,ok
trellm-v0.3-protocol,sha256:ac6beb5fd9baeefa2a96e9f36fa14288b9c568365541faabfa7fa80004c583a2,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_41__sample_0,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,41,0,E0,24,24,sha256:a42c48870ffad7f7aa3615c44954e69fcec262527e25ff9c57caa3f21e07886e,sha256:69388630d85920ca5001f37c9537f5dba46629bf7a2eeac02647dd8c7043f0d6,sha256:884d10db66ac238e01afd27314d8d84c60b6dc09407058d8e17e03efaa27fff0,sha256:2d8a4720ba14f45d7c0256ee7c4b0d584a5db220420e9db8e6812ad20585e207,1.0,ok
trellm-v0.3-protocol,sha256:ba9e67cedbaedc0b53c6a6c1c6567c2328e39c7aea62f4e9a4b4e4591c869d5d,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_41__sample_1,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,41,1,E0,24,24,sha256:beab472fc57ad7a224cf1ebfc2aa376d9552f04c212eb848dd029961c374bd06,sha256:3048b305c7f67526ef61a86d99855fc59c3ec393005b12d347f9f0e5e161ef6d,sha256:12828c38d143d02bcba3df72f5ec202f5a0f3e6ea24147b44bba8b6e3194ee27,sha256:4cf95e325d5aa027e4d3f862171105816769382f71c90d94ea7cdd08dd093524,1.0,ok
trellm-v0.3-protocol,sha256:432061a4438061c6f8b85d40e6e1d8362875a5e90c4a71dc0a376858fdca1f6e,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_41__sample_2,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,41,2,E0,24,24,sha256:84c753faa7f777756b5e14d4cf46dc0b9355813f553baa0cec128b8801740dd5,sha256:c43b6a601581f01112d9b3a1744816d4e9c0f85e9525abf5db17a0c65d79ee7b,sha256:d7a47c61c5f7e48a8938c7e701fdb9400ac436ebc3c92d202177d55d5db8afb1,sha256:1da7cf38c27d39fd0dffbbb4e7a4bd656fe931f81e46ff7c9cf43b65e08aa215,1.0,ok
trellm-v0.3-protocol,sha256:a36ccb12bb6734b630d9709cee5c3d369d0cb3b56406b6344829ff934efb5662,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_43__sample_0,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,43,0,E0,24,24,sha256:ba24eac037c51392c02ccf680a9f36e2e8c46ef1bd10d3db52e898d3726be4e9,sha256:e3c516c4bfa19ce11e03da7f130f45d1aa490ac53cb4c5d1140751890a84ccc1,sha256:3d4487085c8bb7172e4930bec8723d4caeb1c4c25129fcfbd30a9e783800d1e7,sha256:b0190603913d7c02314b2a29155f2b29d737cb7c94b3fea0f2752f8a98b75f31,1.0,ok
trellm-v0.3-protocol,sha256:ddab94ac2d3ab9843c0e0b3e9392f2f4a0fe40a509a6055b2f171aaf29604991,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_43__sample_1,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,43,1,E0,24,24,sha256:73f035c492238045dc6e026e75342e4eb357b8a625d1b3e2ecada9a6981d175b,sha256:21669c3a614083d884a35c165b55dd199f1d61caea4c9d3fa8ce4fbcf451606f,sha256:55b2cbeea65d4eb6ab7b98422c7b298bbebe3b7f1e81adef4802de8de5e8e0e0,sha256:a2637cac2df61985ce62021654449a74ff17adbdb5ae9c60cc489f779b7f5246,1.0,ok
trellm-v0.3-protocol,sha256:b6895f4f1f32b50f1d348a158673ac29af0303bdefdcabb020becd7bf683fc51,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_43__sample_2,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,43,2,E0,24,24,sha256:858374073ee563172861de81941b6ae25e8565e9a09d0879f516c3d10d60cb02,sha256:3a30a0078a4c3efd1ed8306aea3c870f2a2fdc7ff224bef025dff7a80121621c,sha256:a51a372c10cabedbeb0a48cb8f1096be94460724a05ae33ab253af50feeab43d,sha256:4857d3a2878615d5b47c63916f5863f2617e95c443b3141e2faa458280203328,1.0,ok
trellm-v0.3-protocol,sha256:45e77f32495b397b814059818536020de6d39b03d4f1fc4490a8ba43a4b77a5c,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_47__sample_0,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,47,0,E0,24,24,sha256:ac4c68af73b909622f60694d1c20e31f0cd552723fb841897ed330510acf0a4e,sha256:4e2d5d602cfe2f097c6243564f1a5ec5160b174974b3422870942eb8fe5bc435,sha256:943cd4e147ca3eeed978349c78f653a3a4fefb74b52dd99bf0fbaa6c9b632fd4,sha256:f6117527df4c19c5976afab25b7deecfe993e6e57209a0ad8a21aca042cf22c1,1.0,ok
trellm-v0.3-protocol,sha256:ac55947206bdd4cc35e04ebb29cf0f0b804496bebab3776833619122c5e5f6bc,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_47__sample_1,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,47,1,E0,24,24,sha256:3742b2e9093ed7f711d84004c75c5d3a1229841ae766d723f08f54bfe8d53a43,sha256:8e6fb0ad23bc19560f9ce4be3cfbf9c612569742c8ba96e229ed4472578660fe,sha256:00f72006792d2cf6fb0eeafed43550a82630841cd65dd43cda158f7f3d3a4ae8,sha256:f770261e09c92e0f6fc422debeddf0160736decee1dbca9c1b6e38db18336f52,1.0,ok
trellm-v0.3-protocol,sha256:2d79e49e496e327107b51dbf6110a0bf608a9b3585c797d0c2f3a6295cfb5f62,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_47__sample_2,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,47,2,E0,24,24,sha256:04618a3cdc87391a36bb20c12b9be50e970b2326bb8ae7b2c685836359b99777,sha256:7bf6faab5bd0b7942bb7bf6ff903626f005f928e389c7a8183a79b331f60280e,sha256:e816e5c68069c8862ece1d5168fadb758da8af32d3941d3de85c855d8139320a,sha256:8e2c5796530d512fe1f16a23186205568c8c8a56d23575ff92079bafb14f80f4,1.0,ok
trellm-v0.3-protocol,sha256:7dfce76704c0f73c98f0d87080d3f611318cfbdd39373af1d12d69e7acd00704,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_53__sample_0,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,53,0,E0,24,24,sha256:996cb982fb92106bb42b412d6dec6e5ddfc20fbc557fad55ae3411c204c8cac2,sha256:2affbd0656615335d78b0268bb2f8875710d75fa8d73b6e9d346ae98eeaff113,sha256:e5676e8884c328c707d7bd7fd8bd65461258a15e88075bb137a2f14e679568e8,sha256:df26554b50acbdc4df9dc8cebc3ab795428a77afe4f8f2d85f19cb5f7ee7fa2f,1.0,ok
trellm-v0.3-protocol,sha256:9c9d5b01e418ecdbed7bfff1bdf9eb123ef874102efc901d73e4635b5b1a7bd2,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_53__sample_1,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,53,1,E0,24,24,sha256:a79221eafb817cc393f0f6b2a7144fb36f0be53886b17f477fba5988a7d98fa8,sha256:e8e6475a499db70463ae523b47b3031e9e868e3cec17c47120522e8929df5d17,sha256:948b0ff4f1d0fd3cea8fa870147496531f0ff12408ee2062b7edda8fa6e5b518,sha256:895a4d789fdb0bcc490457bb2c52b94a3680f938e8f3662ebaec7d7773c34a0a,1.0,ok
trellm-v0.3-protocol,sha256:7bf10344683cb06ebc1f2103e88a474c1be1e520f881c57378b5c112a4a4b0d4,deepseek__deepseek_v4_flash__synthetic_calm_trend_c0_v0_3__c0__e0__seed_53__sample_2,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,53,2,E0,24,24,sha256:1b855562293c96476cb0baaac63592d1118c48c959ac5f8cc31d19fca9989de1,sha256:fbe44761164a19aaf0d6b287f80bdae7515b23c9d6731340e92ca6e0c7cc6fff,sha256:7296726962a078895ec14d9aa3cad262256766c8617fc3a90d8be8870b80f5bd,sha256:2411e649f4a52baf60fc2499d1537384fbff88701d711b69eb405c1c77f435e8,1.0,ok
