mode,agent,provider,model,api_model,dose,seed,sample,step,prompt_sha256,response_sha256,cache_created_at_utc,collected_before_confirmatory_freeze
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,1,044275a5dd5ee3347baf7fc15d9269d742146dc4aa36323c98a141cc138ee266,5f45973e8be52371c216c048b064d71a70038fcee18a927b3971d88f37a9f57f,2026-06-12T08:22:59Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,2,c797b7af999e723ca88e06dc3be03bbcae8c3bd099082e054db5a57089bfa336,048b0676fda357718ea17809dab99de3d4f65364015c3fa7fbf56e37b4f55ded,2026-06-12T13:06:10Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,3,843ad9f819f31bc531b295bcd6f2ba38124e1209ae1707b253fcc05de0ed784b,97d4a8dee6e8a0956c1a6660bd8eacb0dc7e0229fcbc4232155094ecb98d49c2,2026-06-12T13:06:15Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,4,68e1875dd6127c79ec6a772ef870cc0a8a5f16f209e8a03c2b3dfc5b1c4b16de,4854e932066d4cf33970b3e8504aea6f83c655edc39d37c9692d2856e96499ab,2026-06-12T13:06:20Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,5,2ff8958e01869107fe697edbfb8fa3b525a5512398ac859b06f9d4d1eef5cf56,6daad009d36226e1804a2ccdffb42c55b2b7cb180908abfe5e31125c45d83a12,2026-06-12T13:06:23Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,6,6f36ec42743496427ee30ea6409d732975596d5ec55e320d392e3b706c3faa33,de1e9aa8946ec0b09d845ca4d5598935d073c4d9e649841e0a039cbd0fb6b0e5,2026-06-12T13:06:27Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,7,e22d32a8d356fc1cf7c06351ff8261074904309e6c222a529d0c6ac3bf8414b0,fb74b0433d175a064889edb700a9ab4c898613431bbb7e90c576139854cfb869,2026-06-12T13:06:31Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,8,a47fba1499d99c3c1ac0720fa4405c279cb275dc1baf5aa4b7f381aba49cec06,2261ae7ecfd307715e3d75123117ae5a749579a37284b7217f04f6de3a9f18e2,2026-06-12T13:06:36Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,9,ccc53760f807af42759b3a7e148032d7758ac585195b87cdfc2d84df0b3cd2dd,b4d546a4ee0be4bbbacee97b7fd18470473755f71350bc0ba53e8e4736d43d8f,2026-06-12T13:06:40Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,10,bc6f21f83d3d0e776ec2837385e4906c46f4f6e00c25a8ea601fadb9fc933d97,01fe83e400867613bf8b4b12ca910809b4f4eaa76e7991079c529fa4f4431cd3,2026-06-12T13:06:46Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,11,7ab78dfc602f42906b68024105828f97c94cb9d1976bc84307bdaf7a911ed715,d4b2157558fc1631d884a3c787aef6470fb411fa11a8a17130244552f6b8cb39,2026-06-12T13:06:51Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,12,700977a3e73cc42e4d66619b2a23a0fd8b6f85910776dadc8e43cba8c67be402,eb9bce5f0aed345fdeaaf5e471fd31c22a6b019f16ab5850590f4426a2eb750c,2026-06-12T13:06:56Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,13,c7cfb73ba6141e2da330bd967a6ff95160187e848e081d10ae27c9f13e9c7eb3,b93c2cf197b627e2bb27445039242d928eea0f4c3804575794941e2400ba75f1,2026-06-24T05:36:08Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,14,9226f61ad524e128de3eb6ed31364c6018cfa33cecd095fb8d926a0d74d2bb33,787554f2e5b88f05e0cc38f60dd916eec374249530dbe2cc92c7c73c6149812f,2026-06-24T05:36:12Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,15,0406c6c35155e8b0d22f8b207fad7e58418875dd89a883d20e0adc087d8c069f,7bfd313d6c6df07bfc54bfd33e10679e658d339c22009f07ebe5401d25cff8a0,2026-06-24T05:36:17Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,16,1d8a288934e0f8975d731867fde9d3cefb0cbb204fce6f2881dd63f5809fd835,926b87b830027f6ac35429587b038e7affdaaf0229bdf9b339739d65551a2b77,2026-06-24T05:36:21Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,17,ffa1dc4f8548fbab84f5c8c739f5820ad42c0aa42341501502864a9f37e1a66b,9af9d648d6b6535817f9012effcf614a3e434cfcd4175fb72c0ad4f6e8116286,2026-06-24T05:36:24Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,18,e6a9c9a3e728b77f7c018fc0238b6b16775c709760aafea7152998193c51c82c,30ff0830690be19f58bcc9b7b980463f125206379dedd70350d12b546c54640e,2026-06-24T05:36:29Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,19,6a72cb7d7a1d73962965e5011c7b576e1890574c6ebf1f8a5ffc071c9f3bd694,83d7be86dac68559f4a4d32a6566ee83cd03d912626e4a660c52fcb5c3371eb8,2026-06-24T05:36:33Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,20,e496fc5d8f89b04d0537db043dcadca4460c99d4a17adbb9c891466f2754ad1a,1021ffefa95e76a2a056794fa199c20222848ce15b1e7055307e0e06e95fa005,2026-06-24T05:36:37Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,21,f3c34c1fd18cdd53876a5e0c71f907b95aa80d9942197bbd09fefc238075765c,1ca4ab8fc6e1f4020a68400280080e163641453f0a79feb6abbd162f20f05dd7,2026-06-24T05:36:42Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,22,a2b4d4bd0b61f31b7ad71a9eb5bad522d527a6ac20e6f4bb99626cba6e234967,b3ad8fb96104323b846fac747a2ee6474067c6621f2551ebe13b8c548712e740,2026-06-24T05:36:46Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,23,19dc22dd7859f1c6e04bb530f73172a252702d74641bae3b60b13b2a21dae095,7bd629873e68e3635b145bdccfce6d696f7f650051f67536a2365a35f93635e7,2026-06-24T05:36:51Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,0,24,032e4c54f20d642be02daa269df374803263d7490d99b525c8dd2ea93d162995,448fbea0e84e1b13297326da30c02407aeae4c0ae1615ee50552f74ec3192028,2026-06-24T05:36:56Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,1,044275a5dd5ee3347baf7fc15d9269d742146dc4aa36323c98a141cc138ee266,9c2ff290a4d73bf9801450f466e313154afe642a093ff007eede4e6018c6c982,2026-06-12T08:24:18Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,2,c797b7af999e723ca88e06dc3be03bbcae8c3bd099082e054db5a57089bfa336,0871ac016724443698d0f9e87206711251d53771333ab923ea4f9cca528c42d5,2026-06-12T13:07:00Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,3,843ad9f819f31bc531b295bcd6f2ba38124e1209ae1707b253fcc05de0ed784b,42256206ad293f4b045c7cfeb4d02c4b7a7ca4b69cb8e6935d84a1f9f89c2dc9,2026-06-12T13:07:04Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,4,68e1875dd6127c79ec6a772ef870cc0a8a5f16f209e8a03c2b3dfc5b1c4b16de,83166a6862053d50fce8a9b4686645623c0a9daee7931812a33c701259100fb3,2026-06-12T13:07:09Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,5,2ff8958e01869107fe697edbfb8fa3b525a5512398ac859b06f9d4d1eef5cf56,be056740e3f70ac21e0453a9e456f146a6684de78e6d786bc46366d37a7d4791,2026-06-12T13:07:21Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,6,1a1fe2abc182cc68f84773b841eebadf9badadc3a8b80561c92e87c55aa76046,46c0eb8d9df45813244e191fdfde4524e0d8215668fbf1f3ca697a6fcb483ff8,2026-06-12T13:07:26Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,7,1fae58de4031b83e9722c0b48b018ba449cf898220e1f5abeaee4fb4ec6516e7,1a6b6c330e4148e7616a15b8bbb264aad618aa052e915157a77086788d1cea50,2026-06-12T13:07:33Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,8,203b8eb038c988f77452eed89908296bf5a7aa04c66cbcc83398886ef353743f,b21a9d96d1caf6f1f0a52b15c84c9fc98c8fbacf84245702d96ca60a7fea485a,2026-06-12T13:07:39Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,9,1e1d78ed2886a4557b99814d22d923acb31b2468810c0410005414d95927f798,4c4fe313b4c58d96dadd39a104756e5a4197c5716e402897a3f3497379a331a6,2026-06-12T13:07:43Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,10,72c8c44621dc2aa26e68288061bda38f8617d3539dd86582fc25f907ebff29a6,22fa8615837527875895d8a9d734944864b48080721db856eb0bfa01a70dfb48,2026-06-12T13:07:49Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,11,96103a2907ba10c43abe1faa6d21be1fa377985feffac6f64967b2b073ca8d1c,53a2e566d3c9ee36850b4d6adb05d88800e5db26373537399ce84d102a0ae88f,2026-06-12T13:07:55Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,12,4e567d559401c0af51063dc44d165b1ade5c0b588ad2f59a404a85658ebd2a29,26163be7c78b9399b078f28040fc6b48a188ec02779657706f1349c750b1ca96,2026-06-12T13:08:00Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,13,90c722f729525ca23545f66fa517a9315d2d2af5200451e8794442b2614e4d66,683e4b463c58d115db504258e56618f5901989eb00ae30782f5be53d4492d92d,2026-06-24T05:37:01Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,14,4a41f3ee4186439f86a9912222ad36c002749f3cef38e7ec15690101c774edc6,5fd09c2632ddbe7d2f56fe00d4a1e6dd8da76d8954401e927208f0a094e57254,2026-06-24T05:37:05Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,15,9eaff77a31cc8b31ffd1fc5abc17b0f3c705023717ba2466199ecd2d0b30aa6a,50ed3319c1c730484de146366112632c5384abe7c9bf0dd230270b2905f59d00,2026-06-24T05:37:08Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,16,44156d57f18292648909488ed412eaa44c599b2f7da197feefcc20db48c0d08b,721cb3a8959bd4b6784426f51fa5e74289680df46e8bb09bd33855712763458e,2026-06-24T05:37:12Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,17,34c7dbc06ef9ca27bbb2061dbf47659f767d27b407b139377e275c7c661aaa25,fab011081503e39b34dfcedf4f5c6f043248c23f1470517b144943dfaef5a1f3,2026-06-24T05:37:18Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,18,bbc2f86020aa58e723d2174bbc60165f10cc1f53668188701af35f3801f2b325,ec7c246f3421142365199d6922ce933983b67ea0d7eb4ca8c8ed0cf5b4cc7d9f,2026-06-24T05:37:22Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,19,09cb22fd2e7251b6e795d5a9cae2c3f065d719aff04e312d61d5037f58bfcb5b,307e78972185439f42e87971b48a77a61741806015c243dee2470193ea6ed998,2026-06-24T05:37:26Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,20,9ee9fb06af5c56108e05b72692c5c43f2e17e1d91dbf6d4f217e59fd13f8e558,8ca6d0edfbac638f7834fe80768939f63b92216a714405472af74bb371a29eb4,2026-06-24T05:37:30Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,21,5dbacd5c395c3fc6c53ef1c27363e85714a859de23e92fba9adaa20de58f0601,5c60465adfff74d8585b20393ff2897254558a991b72b0971629f64d46f0e7a5,2026-06-24T05:37:35Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,22,c96aba10658331986eda3f576f04946068f5cf25867404f47acc9d0f8a7f6e0f,a4ac0ce10c45b468e17df6e57098249cda936d573120fb2f1df53f469a01cc45,2026-06-24T05:37:39Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,23,b782927eda5bbac9e4d7ae0448090bb62f5e1851201cc64b44f390258abc60ba,acc5e7372ae9755e96fff6f1fcb92b47c5f8a6c658aacec1a3d405dfc33dfd81,2026-06-24T05:37:43Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,1,24,abe80d65b807b7cdd4588e1e1f2634dfa844ef9689447e09e5fe2602c82da521,241f0c614f422519a6bc66fda1539e2837c2c8eaa9119c0076e767c720686bf4,2026-06-24T05:37:48Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,2,1,044275a5dd5ee3347baf7fc15d9269d742146dc4aa36323c98a141cc138ee266,93b9dcdaa7e81f878ca7316d81a61f2ff503eb000e7cce5c4efd51d75322fc7c,2026-06-12T08:25:36Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,2,2,c797b7af999e723ca88e06dc3be03bbcae8c3bd099082e054db5a57089bfa336,1072bf94188be805bc39b3d609c97b8ee805f596df0cce87fb4b7b9109cf3ebf,2026-06-12T13:08:03Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,2,3,843ad9f819f31bc531b295bcd6f2ba38124e1209ae1707b253fcc05de0ed784b,e5b7c6187e7d5be8bae7a35ba0db3942e504c6f370cbec3c5bf04824d5ad0f9c,2026-06-12T13:08:07Z,True
instructed,deepseek:deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek-v4-pro,0.0,1,2,4,68e1875dd6127c79ec6a772ef870cc0a8a5f16f209e8a03c2b3dfc5b1c4b16de,8d30829ecfb16747815311e0852beda65e2c398a958100a7e98b20367f1d61be,2026-06-12T13:08:12Z,True
