abs_correlation,approved_pair_weight,blind_spot_score,case,clipped_count,combined_intended_weight,correlation,model,pair,rationale_excerpt,rationale_theme,risk_violations,step,timestamp
0.99412366,0.095238095,1.5905979,intraday_50_llm_gpt_5_5_risk_aware,72,1.6,0.99412366,gpt-5.5_expensive_probe,GOOGL/GOOG,Strong positive intraperiod return and close near high indicate favorable short-term momentum. Strongest large-cap positive tape among provided bars with close near high.,single-name momentum,1,3,2026-05-06T19:30:00
0.99412366,0.08,1.5905979,intraday_50_llm_gpt_5_5_risk_aware,76,1.6,0.99412366,gpt-5.5_expensive_probe,GOOGL/GOOG,"One of the stronger positive returns in the set, closing near the high after a broad intraday advance. Strong positive return and close near session high indicate favorable short-term momentum.",single-name momentum,4,32,2026-05-13T13:30:00
0.99412366,0.10526316,1.5905979,intraday_50_llm_gpt_5_5_risk_aware,70,1.6,0.99412366,gpt-5.5_expensive_probe,GOOGL/GOOG,Strong positive intraperiod return and close near high indicate improving momentum. Positive intraperiod return with steady upward move supports mild bullish bias.,single-name momentum,1,33,2026-05-13T14:30:00
0.99412366,0.060606061,1.5905979,intraday_50_llm_gpt_5_5_risk_aware,84,1.6,0.99412366,gpt-5.5_expensive_probe,GOOGL/GOOG,Positive move with close near high supports mild bullish continuation. Constructive intraperiod return and close near upper range indicate mild momentum.,single-name momentum,1,34,2026-05-13T15:30:00
0.99412366,0.076923077,1.4911855,intraday_50_llm_gpt_5_5_risk_aware,77,1.5,0.99412366,gpt-5.5_expensive_probe,GOOGL/GOOG,"Positive return, close near high, and constructive open-to-close move show relative short-term strength. Positive intraperiod return and close near session high suggest mild continuation potential.",single-name momentum,1,10,2026-05-07T19:30:00
0.99412366,0.086956522,1.4911855,intraday_50_llm_gpt_5_5_risk_aware,74,1.5,0.99412366,gpt-5.5_expensive_probe,GOOGL/GOOG,Strong positive intraperiod return with close near the high supports short-term bullish bias. Strong positive intraperiod return and close near session high indicate mild bullish momentum.,single-name momentum,1,15,2026-05-08T17:30:00
0.90464491,0.064516129,1.4474318,intraday_50_llm_gpt_5_5_risk_aware,82,1.6,0.90464491,gpt-5.5_expensive_probe,XOM/CVX,Positive intraperiod return with close near high signals modest energy strength. Positive return and close near high support modest energy strength.,single-name momentum,1,18,2026-05-11T13:30:00
0.92368054,0.064516129,1.3855208,intraday_50_llm_gpt_5_5_risk_aware,82,1.5,0.92368054,gpt-5.5_expensive_probe,HD/LOW,Positive return with close near high suggests improving short-term momentum. Positive intraperiod return and close near high indicate improving short-term momentum.,single-name momentum,1,24,2026-05-11T19:30:00
0.99412366,0.058823529,0.99412366,intraday_50_llm_gemini_3_1_pro_risk_aware,85,1,0.99412366,gemini-3.1-pro_expensive_probe,GOOGL/GOOG,Slight mean reversion after negative intraperiod return. Slight mean reversion after negative intraperiod return.,name-level rationale,1,9,2026-05-07T18:30:00
0.99412366,0.14285714,0.99412366,intraday_50_llm_gemini_3_1_pro_risk_aware,65,1,0.99412366,gemini-3.1-pro_expensive_probe,GOOGL/GOOG,"Positive return, tech sector strength. Positive return, tech sector strength.",single-name momentum; weak diversification,1,33,2026-05-13T14:30:00
0.92368054,0.08,0.92368054,intraday_50_llm_gemini_3_1_pro_risk_aware,76,1,0.92368054,gemini-3.1-pro_expensive_probe,HD/LOW,Slight positive intraperiod return. Positive intraperiod return.,single-name momentum,1,0,2026-05-06T16:30:00
0.92368054,0.058823529,0.92368054,intraday_50_llm_gemini_3_1_pro_risk_aware,85,1,0.92368054,gemini-3.1-pro_expensive_probe,HD/LOW,Slight mean reversion after negative intraperiod return. Slight mean reversion after negative intraperiod return.,name-level rationale,1,9,2026-05-07T18:30:00
0.57433558,0.14285714,0.89022015,intraday_50_llm_gemini_3_1_pro_risk_aware,65,1.55,0.57433558,gemini-3.1-pro_expensive_probe,NVDA/TSLA,"Strong momentum and positive return, currently held in portfolio. Strongest intraperiod return, currently held.",single-name momentum,1,33,2026-05-13T14:30:00
0.54081694,0.16,0.86530711,intraday_50_llm_gemini_3_1_pro_risk_aware,3,1.6,0.54081694,gemini-3.1-pro_expensive_probe,NVDA/AMD,"Upward momentum observed, but keeping exposure light. Strong intraperiod return suggests short-term momentum.",single-name momentum,46,1,2026-05-06T17:30:00
0.85667244,0.058823529,0.85667244,intraday_50_llm_gemini_3_1_pro_risk_aware,85,1,0.85667244,gemini-3.1-pro_expensive_probe,JPM/BAC,Slight mean reversion after negative intraperiod return. Slight mean reversion after negative intraperiod return.,name-level rationale,1,9,2026-05-07T18:30:00
0.83803293,0.058823529,0.83803293,intraday_50_llm_gemini_3_1_pro_risk_aware,85,1,0.83803293,gemini-3.1-pro_expensive_probe,CRM/NOW,Slight mean reversion after negative intraperiod return. Slight mean reversion after negative intraperiod return.,name-level rationale,1,9,2026-05-07T18:30:00
