protocol_id,base_key_sha256,provider,model_id,model_version_or_release,scenario_id,contamination_tier,seed,sample_index,first_prompt_equal,first_response_hash_equal,first_parsed_response_equal,first_parsed_response_divergence_step,full_response_path_equal,full_parsed_response_path_equal
trellm-v0.3-protocol,sha256:0042596e5e231901175925c2ec9828d4de9149b4e51f3b25bdd7ab60e9158813,glm,glm-5-turbo,api-pinned-2026-07-06,synthetic_calm_trend_c0_v0_3,C0,7,0,True,False,False,0,False,False
trellm-v0.3-protocol,sha256:014424ade70ee2c4058057ea6f12b634c87cbaa8ffeb3ff4456d573925ee3fcc,glm,glm-5.2,api-pinned-2026-07-06,synthetic_calm_trend_c0_v0_3,C0,31,1,True,False,False,0,False,False
trellm-v0.3-protocol,sha256:015b1c4e6ec13cc1aa122d7bc39d42efb6f4a596ae43e54b7a8f45253ea072b6,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,37,1,True,True,True,1,False,False
trellm-v0.3-protocol,sha256:02cda00cc11fbbb23f33c47719c168b0cf4a0e2182189e9bc4449fbaf57a47d4,glm,glm-5,api-pinned-2026-07-02,synthetic_jump_tail_c0_v0_3,C0,23,0,True,False,False,0,False,False
trellm-v0.3-protocol,sha256:02d79268acbc00d8a562c0f192e299a0e7b49656aaf66f2f80223f7aad90f531,glm,glm-5,api-pinned-2026-07-02,synthetic_high_volatility_c0_v0_3,C0,17,0,True,False,False,0,False,False
trellm-v0.3-protocol,sha256:030605ea90dac9bef405c035aa57be8ef9733f5f8bdc5eb57bddc90fe0b08d55,glm,glm-5-turbo,api-pinned-2026-07-06,synthetic_high_volatility_c0_v0_3,C0,23,1,True,False,False,0,False,False
trellm-v0.3-protocol,sha256:03a17263add161977d6938ee9cdb3d31956e76a9b4ff69aa1ce4767fbc55bb15,deepseek,deepseek-v4-flash,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,11,0,True,False,False,0,False,False
trellm-v0.3-protocol,sha256:04ec1dadb4b0c38983a9e19c01b6d0da4765b947f774ba1bd389aa4c280503d4,glm,glm-5.2,api-pinned-2026-07-06,synthetic_high_volatility_c0_v0_3,C0,41,2,True,True,True,1,False,False
trellm-v0.3-protocol,sha256:04f42f61021a73bc0bd5cf0203ac2af9b91dc66bc9911a8e6e765439dcedf146,deepseek,deepseek-v4-pro,api-pinned-2026-07-02,synthetic_calm_trend_c0_v0_3,C0,47,2,True,True,True,-1,False,True
trellm-v0.3-protocol,sha256:0687ae944c7963af06b46ba3a8ee02fe5f8df97d3cfa56f6107f3ec90a79c4ec,glm,glm-5,api-pinned-2026-07-02,synthetic_high_volatility_c0_v0_3,C0,23,1,True,True,True,1,False,False
